Sample	Compartment	SourceColony	AcclimationTank	Origin	Group	Day	Hsp70	Ubiquitin
forereefZW-2A-D0	Zoox	12	stable	forereef	forereef_stable	D0	0.122117204	0.765156927
forereefZW-4A-D0	Zoox	14	stable	forereef	forereef_stable	D0	0.455691371	0.69667222
forereefZW-5A-D0	Zoox	15	stable	forereef	forereef_stable	D0	0.440897495	1.711015289
HVZW-1A-D1	Zoox	1	stable	HV	HV_stable	D1	0.034889267	10.86358697
HVZW-2A-D1	Zoox	2	stable	HV	HV_stable	D1	0.02232506	1.406617537
HVZW-3A-D1	Zoox	3	stable	HV	HV_stable	D1	0.006069368	2.681928906
HVZW-4A-D1	Zoox	4	stable	HV	HV_stable	D1	0.015462815	1.658398133
HVZW-5A-D1	Zoox	5	stable	HV	HV_stable	D1	0.020356127	0.664184519
MVZW-1A-D1	Zoox	6	stable	MV	MV_stable	D1	0.599739975	2.62434243
MVZW-2A-D1	Zoox	7	stable	MV	MV_stable	D1	1.049861177	1.827152101
MVZW-3A-D1	Zoox	8	stable	MV	MV_stable	D1	3.033153373	6.399400692
MVZW-4A-D1	Zoox	9	stable	MV	MV_stable	D1	1.497307458	5.333745921
MVZW-5A-D1	Zoox	10	stable	MV	MV_stable	D1	0.944939139	4.535517826
forereefZW-1A-D1	Zoox	11	stable	forereef	forereef_stable	D1	0.250719966	2.335105917
forereefZW-2A-D1	Zoox	12	stable	forereef	forereef_stable	D1	0.616843714	1.638230452
forereefZW-4A-D1	Zoox	14	stable	forereef	forereef_stable	D1	0.986831418	0.954475299
forereefZW-5A-D1	Zoox	15	stable	forereef	forereef_stable	D1	0.805693796	0.704259777
HVZW-1B-D1	Zoox	1	variable	HV	HV_variable	D1	0.239816627	6.826331547
HVZW-2B-D1	Zoox	2	variable	HV	HV_variable	D1	0.230623234	1.075129377
HVZW-3B-D1	Zoox	3	variable	HV	HV_variable	D1	0.353188121	1.578877463
HVZW-4B-D1	Zoox	4	variable	HV	HV_variable	D1	0.866182929	2.460215043
HVZW-5B-D1	Zoox	5	variable	HV	HV_variable	D1	0.907807175	0.919115095
MVZW-1B-D1	Zoox	6	variable	MV	MV_variable	D1	0.790089708	3.684700378
MVZW-2B-D1	Zoox	7	variable	MV	MV_variable	D1	0.777763466	1.799093835
MVZW-3B-D1	Zoox	8	variable	MV	MV_variable	D1	0.614533634	7.325049605
MVZW-4B-D1	Zoox	9	variable	MV	MV_variable	D1	0.617778498	2.097121165
MVZW-5B-D1	Zoox	10	variable	MV	MV_variable	D1	1.026081704	7.421334021
forereefZW-1B-D1	Zoox	11	variable	forereef	forereef_variable	D1	0.87774819	2.563433623
forereefZW-2B-D1	Zoox	12	variable	forereef	forereef_variable	D1	0.97468226	3.273765653
forereefZW-3B-D1	Zoox	13	variable	forereef	forereef_variable	D1	1.044454335	2.490567817
forereefZW-4B-D1	Zoox	14	variable	forereef	forereef_variable	D1	0.920738773	2.546047271
forereefZW-5B-D1	Zoox	15	variable	forereef	forereef_variable	D1	0.830656741	5.289646404
HVZW-1A-D2	Zoox	1	stable	HV	HV_stable	D2	0.785236461	9.570100252
HVZW-2A-D2	Zoox	2	stable	HV	HV_stable	D2	0.382972572	0.879721932
HVZW-3A-D2	Zoox	3	stable	HV	HV_stable	D2	0.568193134	1.051287891
HVZW-4A-D2	Zoox	4	stable	HV	HV_stable	D2	0.231050515	1.719504455
HVZW-5A-D2	Zoox	5	stable	HV	HV_stable	D2	0.574060779	1.381677096
MVZW-1A-D2	Zoox	6	stable	MV	MV_stable	D2	0.135228908	1.110265852
MVZW-2A-D2	Zoox	7	stable	MV	MV_stable	D2	0.055651902	0.766380525
MVZW-3A-D2	Zoox	8	stable	MV	MV_stable	D2	0.652601155	3.644822667
