Sample	origin	acclimation tank	source colony	origin-acclimation	Growth
FR-1	FR	stable	11	FR-stable	8.5
FR-1	FR	stable	11	FR-stable	7.5
FR-1	FR	stable	11	FR-stable	10.5
FR-1	FR	stable	11	FR-stable	8
FR-1	FR	stable	11	FR-stable	8.75
FR-1	FR	stable	11	FR-stable	9
FR-1	FR	stable	11	FR-stable	8
FR-1	FR	stable	11	FR-stable	7.75
FR-1	FR	stable	11	FR-stable	9.75
FR-1	FR	stable	11	FR-stable	7.75
FR-1	FR	stable	11	FR-stable	10
FR-1	FR	stable	11	FR-stable	8
FR-1	FR	stable	11	FR-stable	9.75
FR-2	FR	stable	12	FR-stable	5.25
FR-2	FR	stable	12	FR-stable	5.25
FR-2	FR	stable	12	FR-stable	3.75
FR-2	FR	stable	12	FR-stable	6.5
FR-2	FR	stable	12	FR-stable	5
FR-2	FR	stable	12	FR-stable	6.25
FR-2	FR	stable	12	FR-stable	5.75
FR-2	FR	stable	12	FR-stable	6
FR-2	FR	stable	12	FR-stable	3.25
FR-2	FR	stable	12	FR-stable	4.25
FR-2	FR	stable	12	FR-stable	3.5
FR-2	FR	stable	12	FR-stable	4
FR-2	FR	stable	12	FR-stable	6.25
FR-2	FR	stable	12	FR-stable	3.75
FR-2	FR	stable	12	FR-stable	7.25
FR-4	FR	stable	14	FR-stable	6.25
FR-4	FR	stable	14	FR-stable	5
FR-4	FR	stable	14	FR-stable	4.25
FR-4	FR	stable	14	FR-stable	5.25
FR-4	FR	stable	14	FR-stable	5
FR-4	FR	stable	14	FR-stable	4
FR-4	FR	stable	14	FR-stable	4.5
FR-4	FR	stable	14	FR-stable	3
FR-4	FR	stable	14	FR-stable	3.5
FR-4	FR	stable	14	FR-stable	3.5
FR-4	FR	stable	14	FR-stable	3.25
FR-4	FR	stable	14	FR-stable	4.25
FR-4	FR	stable	14	FR-stable	4.5
FR-4	FR	stable	14	FR-stable	4
FR-4	FR	stable	14	FR-stable	4
FR-5	FR	stable	15	FR-stable	6.25
FR-5	FR	stable	15	FR-stable	4.75
FR-5	FR	stable	15	FR-stable	7.5
FR-5	FR	stable	15	FR-stable	9.25
FR-5	FR	stable	15	FR-stable	8
FR-5	FR	stable	15	FR-stable	8.75
FR-5	FR	stable	15	FR-stable	7.25
FR-5	FR	stable	15	FR-stable	4.75
FR-5	FR	stable	15	FR-stable	6.75
FR-5	FR	stable	15	FR-stable	5
FR-5	FR	stable	15	FR-stable	5.75
FR-5	FR	stable	15	FR-stable	6.25
FR-5	FR	stable	15	FR-stable	6
FR-5	FR	stable	15	FR-stable	6
