Sample	Compartment	SourceColony	AcclimationTank	Origin	Day	Group	Hsp70	Ubiquitin
HVHW-1-FBS	Host	1	field	HV	FBS	HV_field	2.016885641	9.098934562
HVHW-2-FBS	Host	2	field	HV	FBS	HV_field	2.553194984	2.549341875
HVHW-3-FBS	Host	3	field	HV	FBS	HV_field	1.872290581	1.54573407
HVHW-4-FBS	Host	4	field	HV	FBS	HV_field	2.17682304	2.266356891
HVHW-5-FBS	Host	5	field	HV	FBS	HV_field	3.146879627	0.40592703
MVHW-1-FBS	Host	6	field	MV	FBS	MV_field	1.219518939	1.33323685
MVHW-2-FBS	Host	7	field	MV	FBS	MV_field	1.667819478	0.642257067
MVHW-3-FBS	Host	8	field	MV	FBS	MV_field	3.135130798	3.845596176
MVHW-4-FBS	Host	9	field	MV	FBS	MV_field	3.814753707	2.588187617
MVHW-5-FBS	Host	10	field	MV	FBS	MV_field	2.645846963	2.922162611
forereefHW-1-FBS	Host	11	field	forereef	FBS	forereef_field	3.293949154	1.332349594
forereefHW-2-FBS	Host	12	field	forereef	FBS	forereef_field	3.03214399	1.071899223
forereefHW-3-FBS	Host	13	field	forereef	FBS	forereef_field	3.130599178	0.452615344
forereefHW-4-FBS	Host	14	field	forereef	FBS	forereef_field	2.946370224	0.707821523
forereefHW-5-FBS	Host	15	field	forereef	FBS	forereef_field	4.397727551	1.185625347
HVHW-1A-BS	Host	1	stable	HV	BS	HV_stable	1.442921535	4.140206367
HVHW-2A-BS	Host	2	stable	HV	BS	HV_stable	2.528665211	0.077605078
HVHW-3A-BS	Host	3	stable	HV	BS	HV_stable	3.723581306	0.076546078
HVHW-4A-BS	Host	4	stable	HV	BS	HV_stable	2.665359497	0.033387425
HVHW-5A-BS	Host	5	stable	HV	BS	HV_stable	3.280595661	0.015111581
MVHW-1A-BS	Host	6	stable	MV	BS	MV_stable	1.496544094	1.428331918
MVHW-2A-BS	Host	7	stable	MV	BS	MV_stable	1.092701654	0.425625891
MVHW-3A-BS	Host	8	stable	MV	BS	MV_stable	3.059177703	2.982967847
MVHW-4A-BS	Host	9	stable	MV	BS	MV_stable	3.111525904	4.190239378
MVHW-5A-BS	Host	10	stable	MV	BS	MV_stable	2.251139567	3.749897817
forereefHW-1A-BS	Host	11	stable	forereef	BS	forereef_stable	2.294626127	1.185727763
forereefHW-2A-BS	Host	12	stable	forereef	BS	forereef_stable	2.771143268	0.088859666
forereefHW-4A-BS	Host	14	stable	forereef	BS	forereef_stable	3.891148273	0.004233184
forereefHW-5A-BS	Host	15	stable	forereef	BS	forereef_stable	3.173365729	1.606605403
HVHW-1B-BS0	Host	1	variable	HV	BS	HV_variable	1.321958554	8.887866462
HVHW-2B-BS0	Host	2	variable	HV	BS	HV_variable	1.767508549	2.583786994
HVHW-3B-BS0	Host	3	variable	HV	BS	HV_variable	2.424492196	0.645556635
HVHW-4B-BS0	Host	4	variable	HV	BS	HV_variable	2.523336954	1.551911503
HVHW-5B-BS0	Host	5	variable	HV	BS	HV_variable	2.355710796	1.284499438
MVHW-1B-BS0	Host	6	variable	MV	BS	MV_variable	0.939789002	2.219107027
MVHW-2B-BS0	Host	7	variable	MV	BS	MV_variable	1.135289017	0.707823045
MVHW-3B-BS0	Host	8	variable	MV	BS	MV_variable	2.67887477	5.852216167
MVHW-4B-BS0	Host	9	variable	MV	BS	MV_variable	2.392220906	6.715242011
MVHW-5B-BS0	Host	10	variable	MV	BS	MV_variable	1.420245125	7.039416783
forereefHW-1B-BS0	Host	11	variable	forereef	BS	forereef_variable	1.919620982	1.402438326
forereefHW-2B-BS0	Host	12	variable	forereef	BS	forereef_variable	2.712938541	1.600997961
forereefHW-3B-BS0	Host	13	variable	forereef	BS	forereef_variable	1.909738029	2.69589668
forereefHW-4B-BS0	Host	14	variable	forereef	BS	forereef_variable	1.188475314	1.800945778
forereefHW-5B-BS0	Host	15	variable	forereef	BS	forereef_variable	1.342224147	0.729864412
HVHW-1B-BS0	Host	1	variable	HV	D0	HV_variable	1.321958554	8.887866462
HVHW-2B-BS0	Host	2	variable	HV	D0	HV_variable	1.767508549	2.583786994
HVHW-3B-BS0	Host	3	variable	HV	D0	HV_variable	2.424492196	0.645556635
HVHW-4B-BS0	Host	4	variable	HV	D0	HV_variable	2.523336954	1.551911503
HVHW-5B-BS0	Host	5	variable	HV	D0	HV_variable	2.355710796	1.284499438
MVHW-1B-BS0	Host	6	variable	MV	D0	MV_variable	0.939789002	2.219107027
MVHW-2B-BS0	Host	7	variable	MV	D0	MV_variable	1.135289017	0.707823045
MVHW-3B-BS0	Host	8	variable	MV	D0	MV_variable	2.67887477	5.852216167
MVHW-4B-BS0	Host	9	variable	MV	D0	MV_variable	2.392220906	6.715242011
MVHW-5B-BS0	Host	10	variable	MV	D0	MV_variable	1.420245125	7.039416783
forereefHW-1B-BS0	Host	11	variable	forereef	D0	forereef_variable	1.919620982	1.402438326
forereefHW-2B-BS0	Host	12	variable	forereef	D0	forereef_variable	2.712938541	1.600997961
forereefHW-3B-BS0	Host	13	variable	forereef	D0	forereef_variable	1.909738029	2.69589668
forereefHW-4B-BS0	Host	14	variable	forereef	D0	forereef_variable	1.188475314	1.800945778
forereefHW-5B-BS0	Host	15	variable	forereef	D0	forereef_variable	1.342224147	0.729864412
HVHW-1A-D0	Host	1	stable	HV	D0	HV_stable	2.048823253	8.098078523
HVHW-2A-D0	Host	2	stable	HV	D0	HV_stable	1.81659952	1.009205897
