Sample	Compartment	SourceColony	AcclimationTank	Origin	Day	Group	Hsp70	Ubiquitin
HVHW-3A-D0	Host	3	stable	HV	D0	HV_stable	2.820313213	0.56628802
HVHW-4A-D0	Host	4	stable	HV	D0	HV_stable	4.216377831	1.474798411
HVHW-5A-D0	Host	5	stable	HV	D0	HV_stable	2.770354662	1.202104095
MVHW-1A-D0	Host	6	stable	MV	D0	MV_stable	1.651941616	1.796391642
MVHW-2A-D0	Host	7	stable	MV	D0	MV_stable	0.711036487	0.592246556
MVHW-3A-D0	Host	8	stable	MV	D0	MV_stable	2.545922833	5.22225131
MVHW-4A-D0	Host	9	stable	MV	D0	MV_stable	4.112565823	5.259682331
MVHW-5A-D0	Host	10	stable	MV	D0	MV_stable	1.840101331	3.05248382
forereefHW-1A-D0	Host	11	stable	forereef	D0	forereef_stable	1.890457991	1.240358121
forereefHW-2A-D0	Host	12	stable	forereef	D0	forereef_stable	1.59226579	0.862120502
forereefHW-4A-D0	Host	14	stable	forereef	D0	forereef_stable	1.647653423	0.364447949
forereefHW-5A-D0	Host	15	stable	forereef	D0	forereef_stable	1.216899248	0.767396987
HVHW-1A-D1	Host	1	stable	HV	D1	HV_stable	1.759982578	12.89941584
HVHW-2A-D1	Host	2	stable	HV	D1	HV_stable	3.498345923	1.227563267
HVHW-3A-D1	Host	3	stable	HV	D1	HV_stable	3.861861499	1.252836946
HVHW-4A-D1	Host	4	stable	HV	D1	HV_stable	4.568208189	1.683750826
HVHW-5A-D1	Host	5	stable	HV	D1	HV_stable	4.11784039	1.744358217
MVHW-1A-D1	Host	6	stable	MV	D1	MV_stable	3.056234523	1.301511281
MVHW-2A-D1	Host	7	stable	MV	D1	MV_stable	0.609067129	0.206285449
MVHW-3A-D1	Host	8	stable	MV	D1	MV_stable	2.894978119	8.317586237
MVHW-4A-D1	Host	9	stable	MV	D1	MV_stable	2.101153913	5.838327065
MVHW-5A-D1	Host	10	stable	MV	D1	MV_stable	2.159347258	4.212680786
forereefHW-1A-D1	Host	11	stable	forereef	D1	forereef_stable	2.764658913	0.758804034
forereefHW-2A-D1	Host	12	stable	forereef	D1	forereef_stable	0.601027277	0.20149497
forereefHW-4A-D1	Host	14	stable	forereef	D1	forereef_stable	1.568228382	0.535667768
forereefHW-5A-D1	Host	15	stable	forereef	D1	forereef_stable	1.647856125	1.825692662
HVHW-1B-D1	Host	1	variable	HV	D1	HV_variable	2.607264056	2.323185379
HVHW-2B-D1	Host	2	variable	HV	D1	HV_variable	4.226809062	1.906794242
HVHW-3B-D1	Host	3	variable	HV	D1	HV_variable	5.306737894	2.01734351
HVHW-4B-D1	Host	4	variable	HV	D1	HV_variable	4.938241912	1.438417539
HVHW-5B-D1	Host	5	variable	HV	D1	HV_variable	4.828918657	1.467698142
MVHW-1B-D1	Host	6	variable	MV	D1	MV_variable	2.762713864	2.485378713
MVHW-2B-D1	Host	7	variable	MV	D1	MV_variable	1.597527879	2.208935887
MVHW-3B-D1	Host	8	variable	MV	D1	MV_variable	5.097508422	5.07339856
MVHW-4B-D1	Host	9	variable	MV	D1	MV_variable	2.963447086	4.282028387
MVHW-5B-D1	Host	10	variable	MV	D1	MV_variable	2.488507151	3.70426395
forereefHW-1B-D1	Host	11	variable	forereef	D1	forereef_variable	1.909326652	1.115141733
forereefHW-2B-D1	Host	12	variable	forereef	D1	forereef_variable	2.579543166	0.870481625
forereefHW-3B-D1	Host	13	variable	forereef	D1	forereef_variable	2.983235928	0.879024624
forereefHW-4B-D1	Host	14	variable	forereef	D1	forereef_variable	1.56361117	1.05487791
forereefHW-5B-D1	Host	15	variable	forereef	D1	forereef_variable	1.765501832	1.436453622
HVHW-1A-D2	Host	1	stable	HV	D2	HV_stable	1.421727134	17.93031871
HVHW-2A-D2	Host	2	stable	HV	D2	HV_stable	2.368503062	4.131926323
HVHW-3A-D2	Host	3	stable	HV	D2	HV_stable	5.266628936	1.139283995
HVHW-4A-D2	Host	4	stable	HV	D2	HV_stable	2.51841952	0.361214407
HVHW-5A-D2	Host	5	stable	HV	D2	HV_stable	4.569852062	1.384644963
MVHW-1A-D2	Host	6	stable	MV	D2	MV_stable	4.646367117	1.384230983
MVHW-2A-D2	Host	7	stable	MV	D2	MV_stable	2.314784501	0.86895861
MVHW-3A-D2	Host	8	stable	MV	D2	MV_stable	3.318461926	1.754610361
MVHW-4A-D2	Host	9	stable	MV	D2	MV_stable	1.651793029	3.067013808
MVHW-5A-D2	Host	10	stable	MV	D2	MV_stable	2.147592662	3.206428675
forereefHW-1A-D2	Host	11	stable	forereef	D2	forereef_stable	1.397089752	0.344865104
forereefHW-2A-D2	Host	12	stable	forereef	D2	forereef_stable	1.619967538	0.235157499
forereefHW-4A-D2	Host	14	stable	forereef	D2	forereef_stable	1.789514182	0.208757717
forereefHW-5A-D2	Host	15	stable	forereef	D2	forereef_stable	1.85134969	0.431172505
HVHW-1B-D2	Host	1	variable	HV	D2	HV_variable	3.939570867	10.58061562
HVHW-2B-D2	Host	2	variable	HV	D2	HV_variable	4.09636374	1.41156603
HVHW-3B-D2	Host	3	variable	HV	D2	HV_variable	0.849898928	1.284737415
HVHW-4B-D2	Host	4	variable	HV	D2	HV_variable	5.13011744	1.389470816
HVHW-5B-D2	Host	5	variable	HV	D2	HV_variable	4.9650082	1.18739222
MVHW-1B-D2	Host	6	variable	MV	D2	MV_variable	1.97901949	2.068593297
MVHW-2B-D2	Host	7	variable	MV	D2	MV_variable	1.224654738	0.367670538
MVHW-3B-D2	Host	8	variable	MV	D2	MV_variable	2.726269803	2.123403193
MVHW-4B-D2	Host	9	variable	MV	D2	MV_variable	2.708603522	3.46516101
MVHW-5B-D2	Host	10	variable	MV	D2	MV_variable	2.108805121	2.192718009
forereefHW-1B-D2	Host	11	variable	forereef	D2	forereef_variable	3.173315575	0.494755019
forereefHW-2B-D2	Host	12	variable	forereef	D2	forereef_variable	1.122054019	0.471592433
HVHW-3B2-D2	Host	13	variable	forereef	D2	forereef_variable	2.948814822	0.248523383
forereefHW-4B-D2	Host	14	variable	forereef	D2	forereef_variable	1.300442355	0.168895103
forereefHW-5B-D2	Host	15	variable	forereef	D2	forereef_variable	1.492823478	0.923334698
HVHW-1A-D3	Host	1	stable	HV	D3	HV_stable	1.151766745	13.52320698
HVHW-2A-D3	Host	2	stable	HV	D3	HV_stable	1.823306923	1.421220363
HVHW-3A-D3	Host	3	stable	HV	D3	HV_stable	5.019111635	0.505029847
HVHW-4A-D3	Host	4	stable	HV	D3	HV_stable	2.616098672	0.091
HVHW-5A-D3	Host	5	stable	HV	D3	HV_stable	2.023152325	0.02061
MVHW-1A-D3	Host	6	stable	MV	D3	MV_stable	1.978742757	0.56962011
MVHW-2A-D3	Host	7	stable	MV	D3	MV_stable	0.97849219	0.017603
MVHW-3A-D3	Host	8	stable	MV	D3	MV_stable	2.543622866	2.613734981
MVHW-4A-D3	Host	9	stable	MV	D3	MV_stable	1.63047391	1.756391014
MVHW-5A-D3	Host	10	stable	MV	D3	MV_stable	2.810532509	1.337488517
forereefHW-1A-D3	Host	11	stable	forereef	D3	forereef_stable	1.588486712	0.050027072
forereefHW-2A-D3	Host	12	stable	forereef	D3	forereef_stable	1.000454316	0.966557491
forereefHW-3A-D3	Host	14	stable	forereef	D3	forereef_stable	1.335109941	3.287766571
forereefHW-4A-D3	Host	15	stable	forereef	D3	forereef_stable	3.434414983	3.551448476
HVHW-1B-D3	Host	1	variable	HV	D3	HV_variable	1.320392763	14.64826235
HVHW-2B-D3	Host	2	variable	HV	D3	HV_variable	3.299755469	2.20758168
HVHW-3B-D3	Host	3	variable	HV	D3	HV_variable	3.305785808	1.529588447
HVHW-4B-D3	Host	4	variable	HV	D3	HV_variable	3.934830788	1.369669541
HVHW-5B-D3	Host	5	variable	HV	D3	HV_variable	5.438470857	1.572001132
MVHW-1B-D3	Host	6	variable	MV	D3	MV_variable	1.09801977	2.534541664
MVHW-2B-D3	Host	7	variable	MV	D3	MV_variable	1.484888055	1.200769699
MVHW-3B-D3	Host	8	variable	MV	D3	MV_variable	3.179985348	3.630089518
MVHW-4B-D3	Host	9	variable	MV	D3	MV_variable	1.683628245	3.610021992
MVHW-5B-D3	Host	10	variable	MV	D3	MV_variable	2.047543194	4.010809312
forereefHW-1B-D3	Host	11	variable	forereef	D3	forereef_variable	1.326649045	0.628731611
forereefHW-2B-D3	Host	12	variable	forereef	D3	forereef_variable	0.613548703	1.122014921
forereefHW-3B-D3	Host	13	variable	forereef	D3	forereef_variable	0.155309599	1.447611569
forereefHW-4B-D3	Host	14	variable	forereef	D3	forereef_variable	0.99955688	1.432573905
forereefHW-5B-D3	Host	15	variable	forereef	D3	forereef_variable	0.219237359	0.500844821
HVHW-1A-D4	Host	1	stable	HV	D4	HV_stable	0.192423348	11.16274304
HVHW-2A-D4	Host	2	stable	HV	D4	HV_stable	0.186308227	3.587715941
HVHW-3A-D4	Host	3	stable	HV	D4	HV_stable	0.167153557	1.042664601
HVHW-4A-D4	Host	4	stable	HV	D4	HV_stable	0.496920206	0.631254029
HVHW-5A-D4	Host	5	stable	HV	D4	HV_stable	0.230733478	1.011454047
MVHW-1A-D4	Host	6	stable	MV	D4	MV_stable	0.053564023	0.813236229
MVHW-2A-D4	Host	7	stable	MV	D4	MV_stable	0.051279122	0.26491343
MVHW-3A-D4	Host	8	stable	MV	D4	MV_stable	1.000652964	5.754978626
MVHW-4A-D4	Host	9	stable	MV	D4	MV_stable	1.142697104	4.714781961
MVHW-5A-D4	Host	10	stable	MV	D4	MV_stable	1.242304838	3.754420473
forereefHW-1A-D4	Host	11	stable	forereef	D4	forereef_stable	0.662305285	2.090624744
forereefHW-2A-D4	Host	12	stable	forereef	D4	forereef_stable	0.262220869	1.546974234
forereefHW-4A-D4	Host	14	stable	forereef	D4	forereef_stable	0.333842731	0.179596436
forereefHW-5A-D4	Host	15	stable	forereef	D4	forereef_stable	0.78023773	4.317665234
HVHW-1B-D4	Host	1	variable	HV	D4	HV_variable	0.205586956	15.56495454
HVHW-2B-D4	Host	2	variable	HV	D4	HV_variable	0.251275514	1.146363461
HVHW-3B-D4	Host	3	variable	HV	D4	HV_variable	0.379385677	0.314616903
HVHW-4B-D4	Host	4	variable	HV	D4	HV_variable	0.217257222	0.988256182
HVHW-5B-D4	Host	5	variable	HV	D4	HV_variable	0.211420957	0.24691319
MVHW-1B-D4	Host	6	variable	MV	D4	MV_variable	0.068270079	1.027686686
MVHW-2B-D4	Host	7	variable	MV	D4	MV_variable	0.582341919	0.856701021
MVHW-3B-D4	Host	8	variable	MV	D4	MV_variable	0.739997792	3.261396013
MVHW-4B-D4	Host	9	variable	MV	D4	MV_variable	1.329650555	3.186694018
MVHW-5B-D4	Host	10	variable	MV	D4	MV_variable	1.110847951	3.488356428
forereefHW-1B-D4	Host	11	variable	forereef	D4	forereef_variable	0.013576698	0.972881504
forereefHW-2B-D4	Host	12	variable	forereef	D4	forereef_variable	0.248930687	0.506169597
forereefHW-3B-D4	Host	13	variable	forereef	D4	forereef_variable	0.458915913	1.89332372
forereefHW-4B-D4	Host	14	variable	forereef	D4	forereef_variable	0.462659881	1.374036837
forereefHW-5B-D4	Host	15	variable	forereef	D4	forereef_variable	0.491212833	0.997407154
