DateTime	Tank 1	Tank 2
8/2/07 12:19	28.91333333	30.96666667
8/2/07 12:35	28.9	31.27333333
8/2/07 12:50	28.89333333	31.43333333
8/2/07 13:06	28.90666667	31.63333333
8/2/07 13:21	28.90666667	31.82
8/2/07 13:36	28.87333333	31.96
8/2/07 13:52	28.87333333	32.12
8/2/07 14:07	28.89333333	32.33333333
8/2/07 14:22	28.9	32.51333333
8/2/07 14:38	28.91333333	32.66
8/2/07 14:53	28.92666667	32.64
8/2/07 15:09	28.92	32.35333333
8/2/07 15:24	28.92666667	32.56
8/2/07 15:39	28.92	32.7
8/2/07 15:55	28.91333333	32.78666667
8/2/07 16:10	28.94	32.96666667
8/2/07 16:25	28.97333333	33.16
8/2/07 16:41	28.93333333	33.24666667
8/2/07 16:56	28.94	33.04
8/2/07 17:12	28.96	31.96
8/2/07 17:27	28.95333333	31.32
8/2/07 17:42	28.91333333	30.93333333
8/2/07 17:58	28.94	30.94666667
8/2/07 18:13	28.92666667	30.42
8/2/07 18:29	28.93333333	29.97333333
8/2/07 18:44	28.94	30.02666667
8/2/07 18:59	28.90666667	30.12
8/2/07 19:15	28.92	29.64
8/2/07 19:30	28.9	29.16
8/2/07 19:46	28.86	28.92
8/2/07 20:01	28.88666667	28.69333333
8/2/07 20:16	28.86	27.89333333
8/2/07 20:32	28.78	27.52666667
8/2/07 20:48	28.73333333	27.88
8/2/07 21:03	28.65333333	28.32
8/2/07 21:19	28.63333333	28.76666667
8/2/07 21:34	28.7	29.09333333
8/2/07 21:50	28.84	29.46666667
8/2/07 22:05	28.9	29.74666667
8/2/07 22:20	28.92	29.36666667
8/2/07 22:36	28.92666667	28.89333333
8/2/07 22:51	28.92666667	29.05333333
8/2/07 23:06	28.91333333	29.33333333
8/2/07 23:22	28.93333333	29.63333333
8/2/07 23:37	28.91333333	29.79333333
8/2/07 23:53	28.88571429	29.5
8/3/07 0:01	28.91333333	29.38
8/3/07 0:16	28.92666667	29.66666667
8/3/07 0:32	28.88	29.91333333
8/3/07 0:47	28.91333333	30.10666667
8/3/07 1:02	28.87333333	30.30666667
8/3/07 1:18	28.87333333	30.47333333
8/3/07 1:33	28.85333333	30.59333333
8/3/07 1:48	28.89333333	30.76
8/3/07 2:04	28.89333333	30.87333333
8/3/07 2:19	28.88666667	30.98666667
8/3/07 2:35	28.90666667	31.1
8/3/07 2:50	28.92666667	31.34
8/3/07 3:05	28.93333333	31.48
8/3/07 3:21	28.95333333	31.62
8/3/07 3:36	28.9	31.74666667
8/3/07 3:52	28.94666667	31.70666667
8/3/07 4:07	28.90666667	31.07333333
8/3/07 4:22	28.88666667	30.95333333
8/3/07 4:38	28.93333333	31.19333333
8/3/07 4:53	28.91333333	31.42
8/3/07 5:08	28.84666667	31.54666667
8/3/07 5:24	28.91333333	31.74666667
8/3/07 5:39	28.90666667	31.7
8/3/07 5:55	28.88666667	31.04
8/3/07 6:10	28.90666667	31.02666667
8/3/07 6:25	28.86666667	31.24
8/3/07 6:41	28.91333333	31.45333333
8/3/07 6:56	28.90666667	31.6
8/3/07 7:12	28.91333333	31.74
8/3/07 7:27	28.92666667	31.50666667
8/3/07 7:42	28.85333333	30.92
8/3/07 7:58	28.9	31.06
8/3/07 8:13	28.91333333	31.3
8/3/07 8:28	28.86666667	31.48666667
8/3/07 8:44	28.91333333	31.67333333
8/3/07 8:59	28.92	31.78
8/3/07 9:15	28.94	31.28
8/3/07 9:30	28.93333333	30.88
8/3/07 9:45	28.92666667	31.16
8/3/07 10:01	28.96666667	31.53333333
8/3/07 10:16	28.93333333	31.86666667
8/3/07 10:32	28.92666667	32.15333333
8/3/07 10:47	28.96	32.39333333
8/3/07 11:02	28.91333333	32.64666667
8/3/07 11:18	28.94	32.87333333
8/3/07 11:33	28.92	33.07333333
8/3/07 11:48	28.93333333	33.22
8/3/07 12:04	28.91333333	33.38666667
8/3/07 12:19	28.93333333	33.59333333
8/3/07 12:35	28.94	33.77333333
8/3/07 12:50	28.92	33.52
8/3/07 13:05	28.94666667	33.42
8/3/07 13:21	28.92666667	33.6
8/3/07 13:36	28.92666667	33.82666667
8/3/07 13:51	28.94	33.93333333
8/3/07 14:07	28.94	34.09333333
8/3/07 14:22	28.96	34.22
8/3/07 14:38	28.96	34.34
8/3/07 14:53	28.96	34.48
8/3/07 15:08	28.96666667	34.62
8/3/07 15:24	28.95333333	34.76666667
8/3/07 15:39	28.9	34.82666667
8/3/07 15:55	28.94	34.87333333
8/3/07 16:10	28.91333333	34.90666667
8/3/07 16:25	28.93333333	34.98
8/3/07 16:41	28.92	35.06
8/3/07 16:56	28.94	34.92666667
8/3/07 17:12	28.92666667	34.24
8/3/07 17:27	28.92	33.92
8/3/07 17:42	28.94666667	34.12
8/3/07 17:58	28.96	34.06
8/3/07 18:13	28.95333333	33.46
8/3/07 18:29	28.99333333	32.98
8/3/07 18:44	28.92666667	33.06666667
8/3/07 18:59	28.98666667	32.84
8/3/07 19:15	28.94666667	31.93333333
8/3/07 19:30	28.98	31.42
8/3/07 19:45	28.94666667	31.04666667
8/3/07 20:01	28.92666667	31.08
8/3/07 20:16	28.98666667	31.56
8/3/07 20:32	28.92666667	31.75333333
8/3/07 20:47	28.91333333	31.26
8/3/07 21:02	28.92	30.94
8/3/07 21:18	28.88666667	31.25333333
8/3/07 21:33	28.90666667	31.6
8/3/07 21:48	28.89333333	31.72
8/3/07 22:04	28.90666667	31.14666667
8/3/07 22:19	28.86666667	31.00666667
8/3/07 22:35	28.81333333	31.34666667
8/3/07 22:50	28.86	31.63333333
8/3/07 23:05	28.78	31.8
8/3/07 23:21	28.82	31.56
8/3/07 23:36	28.77333333	31
8/3/07 23:52	28.8	30.975
8/4/07 0:01	28.85333333	31.27333333
8/4/07 0:16	28.82	31.50666667
8/4/07 0:32	28.88666667	31.76666667
8/4/07 0:47	28.9	31.98
8/4/07 1:02	28.92	32.20666667
8/4/07 1:18	28.92	32.34666667
8/4/07 1:33	28.92666667	32.52666667
8/4/07 1:48	28.92	32.66
8/4/07 2:04	28.87333333	32.76666667
8/4/07 2:19	28.91333333	32.93333333
8/4/07 2:35	28.86666667	33.00666667
8/4/07 2:50	28.90666667	33.09333333
8/4/07 3:05	28.88666667	33.15333333
8/4/07 3:21	28.89333333	33.21333333
8/4/07 3:36	28.89333333	33.30666667
8/4/07 3:52	28.87333333	33.38
8/4/07 4:07	28.92	33.40666667
8/4/07 4:22	28.88666667	33.4
8/4/07 4:38	28.9	33.48666667
8/4/07 4:53	28.88	33.5
8/4/07 5:08	28.9	33.52666667
8/4/07 5:24	28.86666667	33.5
8/4/07 5:39	28.90666667	33.56
8/4/07 5:55	28.91333333	33.62
8/4/07 6:10	28.86666667	33.59333333
8/4/07 6:25	28.92	33.70666667
8/4/07 6:41	28.86	33.70666667
8/4/07 6:56	28.9	33.75333333
8/4/07 7:12	28.92	33.78
8/4/07 7:27	28.87333333	33.74
8/4/07 7:42	28.94	33.80666667
8/4/07 7:58	28.88666667	33.8
8/4/07 8:13	28.94666667	33.78
8/4/07 8:29	28.89333333	33.19333333
8/4/07 8:44	28.86666667	32.82
8/4/07 8:59	28.91333333	33.04
8/4/07 9:15	28.90666667	33.14666667
8/4/07 9:30	28.95333333	33.31333333
8/4/07 9:45	28.92666667	33.43333333
8/4/07 10:01	28.45333333	30.78666667
8/4/07 10:29	28.72666667	32.9
8/4/07 10:44	28.83333333	32.88666667
8/4/07 11:14	29.03333333	33.24
8/4/07 11:30	28.97333333	33.48
8/4/07 11:46	28.94	33.63333333
8/4/07 12:02	28.94666667	33.8
8/4/07 12:17	28.95333333	33.95333333
8/4/07 12:33	28.93333333	34.09333333
8/4/07 12:48	28.96666667	34.15333333
8/4/07 13:04	28.91333333	34.2
8/4/07 13:19	28.92	34.22666667
8/4/07 13:34	28.95333333	34.35333333
8/4/07 13:50	28.94	34.49333333
8/4/07 14:07	28.93333333	34.62666667
8/4/07 14:30	28.98	34.82
8/4/07 14:46	28.96666667	34.95333333
8/4/07 15:02	29.06	35.02666667
8/4/07 15:31	28.99333333	34.42666667
8/4/07 15:49	28.97333333	34.43333333
8/4/07 15:57	28.95333333	34.58666667
8/4/07 16:06	28.94666667	34.68
8/4/07 16:14	28.97333333	34.84
8/4/07 16:23	28.95333333	35
8/4/07 16:32	28.95333333	35.48
8/4/07 16:43	28.96	36.21333333
8/4/07 17:00	28.97333333	36.78666667
8/4/07 17:16	28.94666667	36.64
8/4/07 18:08	28.92666667	36.11333333
8/4/07 18:23	28.96666667	35.64666667
8/4/07 18:39	28.92666667	34.53333333
8/4/07 19:35	28.86666667	33.12
8/4/07 19:54	28.92	32.62666667
8/4/07 20:10	28.94	32.43333333
8/4/07 20:25	28.92	32.30666667
8/4/07 20:40	28.92	32.08
8/4/07 20:56	28.89333333	31.86
8/4/07 21:11	28.87333333	31.71333333
8/4/07 21:27	28.88	32.40666667
8/4/07 21:42	28.82666667	33.03333333
8/4/07 21:57	28.78	33.72666667
8/4/07 22:13	28.74	33.76666667
8/4/07 22:28	28.74	33.62666667
8/4/07 22:43	28.77333333	33.48666667
8/4/07 22:59	28.80666667	33.38666667
8/4/07 23:14	28.86666667	33.30666667
8/4/07 23:29	28.86	33.16
8/4/07 23:45	28.91333333	33.08666667
8/5/07 0:01	28.92	33.4
8/5/07 0:17	28.96666667	34.15333333
8/5/07 0:32	28.92666667	34.82
8/5/07 0:47	28.91333333	35.46666667
8/5/07 1:03	28.91333333	35.74
8/5/07 1:18	28.89333333	35.46666667
8/5/07 1:33	28.90666667	35.23333333
8/5/07 1:49	28.86	34.96
8/5/07 2:04	28.83333333	35.23333333
8/5/07 2:19	28.88	35.78666667
8/5/07 2:35	28.87333333	35.62666667
8/5/07 2:50	28.90666667	35.44
8/5/07 3:06	28.92	35.26
8/5/07 3:21	28.88666667	35.06666667
8/5/07 3:36	28.92666667	34.93333333
8/5/07 3:52	28.91333333	35.21333333
8/5/07 4:07	28.92666667	35.82
8/5/07 4:22	28.93333333	35.70666667
8/5/07 4:38	28.90666667	35.52
8/5/07 4:53	28.89333333	35.3
8/5/07 5:09	28.89333333	35.16666667
8/5/07 5:24	28.88666667	34.97333333
8/5/07 5:39	28.89333333	34.96
8/5/07 5:55	28.87333333	35.56666667
8/5/07 6:10	28.91333333	35.73333333
8/5/07 6:25	28.89333333	35.54
8/5/07 6:41	28.88666667	35.32666667
8/5/07 6:56	28.90666667	35.13333333
8/5/07 7:11	28.87333333	34.95333333
8/5/07 7:27	28.9	35.18
8/5/07 7:42	28.92666667	35.76
8/5/07 7:58	28.89333333	35.68666667
8/5/07 8:13	28.92	35.46666667
8/5/07 8:29	28.87333333	35.27333333
8/5/07 8:44	28.88	35.04666667
8/5/07 8:59	28.9	34.91333333
8/5/07 9:15	28.92	35.02666667
8/5/07 9:30	28.91333333	35.72
8/5/07 9:45	28.92	35.79333333
8/5/07 10:01	28.92	36.08
8/5/07 10:16	28.96666667	36.73333333
8/5/07 10:32	28.93333333	36.72666667
8/5/07 10:47	28.95333333	36.6
8/5/07 11:02	28.91333333	36.45333333
8/5/07 11:18	28.94666667	36.58666667
8/5/07 11:33	28.95333333	37.26666667
8/5/07 11:48	28.93333333	37.20666667
8/5/07 12:04	28.94666667	37.04
8/5/07 12:19	28.92666667	36.91333333
8/5/07 12:35	28.92	36.93333333
8/5/07 12:50	28.94	37.61333333
8/5/07 13:05	28.92666667	38.23333333
8/5/07 13:21	28.93333333	38.19333333
8/5/07 13:36	28.92666667	38.02666667
8/5/07 13:51	28.92	37.88
8/5/07 14:07	28.92	38.37333333
8/5/07 14:22	28.95333333	38.78
8/5/07 14:38	28.93333333	38.58
8/5/07 14:53	28.94	38.42
8/5/07 15:08	28.92	38.80666667
8/5/07 15:24	28.94	39.3
8/5/07 15:39	28.92666667	39.06666667
8/5/07 15:54	28.94	38.93333333
8/5/07 16:10	28.92666667	39.59333333
8/5/07 16:25	28.92	39.84666667
8/5/07 16:41	28.94	39.71333333
8/5/07 16:56	28.94	39.42
8/5/07 17:11	28.94666667	38.91333333
8/5/07 17:27	28.93333333	38.32
8/5/07 17:42	28.95333333	37.84
8/5/07 17:58	28.91333333	37.47333333
