Date	Time	NumDate	Date Time	Tank 1	Tank 2
26-Jun-07	12:00:45 AM	6/26/07	6/26/07 0:00	28.39333333	28.41666667
26-Jun-07	12:14:24 AM	6/26/07	6/26/07 0:14	28.40666667	28.42333333
26-Jun-07	12:28:03 AM	6/26/07	6/26/07 0:28	28.4	28.4
26-Jun-07	12:41:45 AM	6/26/07	6/26/07 0:41	28.37666667	28.4
26-Jun-07	12:55:27 AM	6/26/07	6/26/07 0:55	28.39333333	28.39333333
26-Jun-07	1:09:05 AM	6/26/07	6/26/07 1:09	28.39	28.39
26-Jun-07	1:22:47 AM	6/26/07	6/26/07 1:22	28.39	28.39
26-Jun-07	1:36:26 AM	6/26/07	6/26/07 1:36	28.38333333	28.40333333
26-Jun-07	1:50:08 AM	6/26/07	6/26/07 1:50	28.38333333	28.40333333
26-Jun-07	2:03:54 AM	6/26/07	6/26/07 2:03	28.38666667	28.41333333
26-Jun-07	2:17:33 AM	6/26/07	6/26/07 2:17	28.39	28.41666667
26-Jun-07	2:31:14 AM	6/26/07	6/26/07 2:31	28.39	28.41333333
26-Jun-07	2:44:53 AM	6/26/07	6/26/07 2:44	28.38	28.42
26-Jun-07	2:58:32 AM	6/26/07	6/26/07 2:58	28.39333333	28.41333333
26-Jun-07	3:12:14 AM	6/26/07	6/26/07 3:12	28.4	28.42666667
26-Jun-07	3:25:53 AM	6/26/07	6/26/07 3:25	28.36666667	28.41333333
26-Jun-07	3:39:32 AM	6/26/07	6/26/07 3:39	28.37666667	28.41
26-Jun-07	3:53:23 AM	6/26/07	6/26/07 3:53	28.39	28.40666667
26-Jun-07	4:07:09 AM	6/26/07	6/26/07 4:07	28.41333333	28.41333333
26-Jun-07	4:20:50 AM	6/26/07	6/26/07 4:20	28.39333333	28.40666667
26-Jun-07	4:34:30 AM	6/26/07	6/26/07 4:34	28.39666667	28.39666667
26-Jun-07	4:48:09 AM	6/26/07	6/26/07 4:48	28.38333333	28.39
26-Jun-07	5:01:48 AM	6/26/07	6/26/07 5:01	28.40333333	28.31666667
26-Jun-07	5:15:27 AM	6/26/07	6/26/07 5:15	28.38666667	28.21333333
26-Jun-07	5:29:07 AM	6/26/07	6/26/07 5:29	28.37333333	28.2
26-Jun-07	5:42:48 AM	6/26/07	6/26/07 5:42	28.38333333	28.23333333
26-Jun-07	5:56:27 AM	6/26/07	6/26/07 5:56	28.4	28.31333333
26-Jun-07	6:10:09 AM	6/26/07	6/26/07 6:10	28.40333333	28.42333333
26-Jun-07	6:23:50 AM	6/26/07	6/26/07 6:23	28.39666667	28.43
26-Jun-07	6:37:29 AM	6/26/07	6/26/07 6:37	28.37333333	28.42333333
26-Jun-07	6:51:11 AM	6/26/07	6/26/07 6:51	28.40666667	28.43333333
26-Jun-07	7:04:50 AM	6/26/07	6/26/07 7:04	28.39333333	28.43
26-Jun-07	7:18:30 AM	6/26/07	6/26/07 7:18	28.38666667	28.42
26-Jun-07	7:32:11 AM	6/26/07	6/26/07 7:32	28.39333333	28.43
26-Jun-07	7:45:53 AM	6/26/07	6/26/07 7:45	28.39333333	28.42
26-Jun-07	7:59:32 AM	6/26/07	6/26/07 7:59	28.36666667	28.42333333
26-Jun-07	8:13:13 AM	6/26/07	6/26/07 8:13	28.40666667	28.42333333
26-Jun-07	8:26:52 AM	6/26/07	6/26/07 8:26	28.37666667	28.42
26-Jun-07	8:40:32 AM	6/26/07	6/26/07 8:40	28.39666667	28.42
26-Jun-07	8:54:13 AM	6/26/07	6/26/07 8:54	28.39666667	28.42666667
26-Jun-07	9:07:59 AM	6/26/07	6/26/07 9:07	28.39	28.42333333
26-Jun-07	9:21:50 AM	6/26/07	6/26/07 9:21	28.39	28.41666667
26-Jun-07	9:35:29 AM	6/26/07	6/26/07 9:35	28.41333333	28.43666667
26-Jun-07	9:49:08 AM	6/26/07	6/26/07 9:49	28.39333333	28.42333333
26-Jun-07	10:02:49 AM	6/26/07	6/26/07 10:02	28.38666667	28.41666667
26-Jun-07	10:16:28 AM	6/26/07	6/26/07 10:16	28.40333333	28.43666667
26-Jun-07	10:30:07 AM	6/26/07	6/26/07 10:30	28.39666667	28.42
26-Jun-07	10:43:48 AM	6/26/07	6/26/07 10:43	28.39333333	28.43333333
26-Jun-07	10:57:31 AM	6/26/07	6/26/07 10:57	28.39333333	28.42
26-Jun-07	11:11:10 AM	6/26/07	6/26/07 11:11	28.38333333	28.42666667
26-Jun-07	11:24:52 AM	6/26/07	6/26/07 11:24	28.39666667	28.40666667
26-Jun-07	11:38:31 AM	6/26/07	6/26/07 11:38	28.38	28.4
26-Jun-07	11:52:12 AM	6/26/07	6/26/07 11:52	28.37666667	28.41
26-Jun-07	12:05:54 PM	6/26/07	6/26/07 12:05	28.40333333	28.41333333
26-Jun-07	12:19:33 PM	6/26/07	6/26/07 12:19	28.4	28.42
26-Jun-07	12:33:15 PM	6/26/07	6/26/07 12:33	28.38666667	28.41333333
26-Jun-07	12:46:55 PM	6/26/07	6/26/07 12:46	28.38	28.42
26-Jun-07	1:00:41 PM	6/26/07	6/26/07 13:00	28.41	28.40666667
26-Jun-07	1:14:22 PM	6/26/07	6/26/07 13:14	28.37666667	28.42333333
26-Jun-07	1:28:01 PM	6/26/07	6/26/07 13:28	28.4	28.41666667
26-Jun-07	1:41:42 PM	6/26/07	6/26/07 13:41	28.37666667	28.42
26-Jun-07	1:55:22 PM	6/26/07	6/26/07 13:55	28.38666667	28.41
26-Jun-07	2:09:01 PM	6/26/07	6/26/07 14:09	28.38	28.41
